Date,Meal,Food,Protein,Calories,Fats,Carbs
2025-02-01,B,Idli Sambar,12,299,5,61
2025-02-01,L,Dal Rice with Mixed Veg,15,550,12,81
2025-02-01,D,Tandoori Chicken with Salad,30,600,15,40
2025-02-02,B,Masala Dosa,10,349,8,50
2025-02-02,L,Paneer Butter Masala with Naan,20,701,30,75
2025-02-02,D,Vegetable Curry with Rice,12,550,18,90
2025-02-03,B,Poha,8,320,7,55
2025-02-03,L,Chole Rice,18,600,15,85
2025-02-03,D,Fish Curry with Rice,25,580,21,75
2025-02-04,B,Upma,9,330,6,50
2025-02-04,L,Rajma Chawal,16,580,10,90
2025-02-04,D,Palak Paneer with Roti,20,620,22,50
2025-02-05,B,Aloo Paratha,10,401,10,70
2025-02-05,L,Vegetable Biryani,12,620,14,95
2025-02-05,D,Dal Makhani with Rice,18,601,16,80
2025-02-06,B,Puri Bhaji,8,380,12,65
2025-02-06,L,Aloo Gobi with Roti,14,560,12,80
2025-02-06,D,Egg Curry with Rice,22,630,20,70
2025-02-07,B,Medu Vada,9,340,11,45
2025-02-07,L,Kadhi Chawal,13,541,11,85
2025-02-07,D,Chicken Curry with Rice,28,650,18,75
2025-02-08,B,Idli Sambar,12,299,5,61
2025-02-08,L,Dal Rice with Mixed Veg,15,550,12,81
2025-02-08,D,Tandoori Chicken with Salad,30,600,15,40
2025-02-09,B,Masala Dosa,10,349,8,50
2025-02-09,L,Paneer Butter Masala with Naan,20,701,30,75
2025-02-09,D,Vegetable Curry with Rice,12,550,18,90
2025-02-10,B,Poha,8,320,7,55
2025-02-10,L,Chole Rice,18,600,15,85
2025-02-10,D,Fish Curry with Rice,25,580,21,75
2025-02-11,B,Upma,9,330,6,50
2025-02-11,L,Rajma Chawal,16,580,10,90
2025-02-11,D,Palak Paneer with Roti,20,620,22,50
2025-02-12,B,Aloo Paratha,10,401,10,70
2025-02-12,L,Vegetable Biryani,12,620,14,95
2025-02-12,D,Dal Makhani with Rice,18,601,16,80
2025-02-13,B,Puri Bhaji,8,380,12,65
2025-02-13,L,Aloo Gobi with Roti,14,560,12,80
2025-02-13,D,Egg Curry with Rice,22,630,20,70
2025-02-14,B,Medu Vada,9,340,11,45
2025-02-14,L,Kadhi Chawal,13,541,11,85
2025-02-14,D,Chicken Curry with Rice,28,650,18,75
2025-02-15,B,Idli Sambar,12,299,5,61
2025-02-15,L,Dal Rice with Mixed Veg,15,550,12,81
2025-02-15,D,Tandoori Chicken with Salad,30,600,15,40
2025-02-16,B,Masala Dosa,10,349,8,50
2025-02-16,L,Paneer Butter Masala with Naan,20,701,30,75
2025-02-16,D,Vegetable Curry with Rice,12,550,18,90
2025-02-17,B,Poha,8,320,7,55
2025-02-17,L,Chole Rice,18,600,15,85
2025-02-17,D,Fish Curry with Rice,25,580,21,75
2025-02-18,B,Upma,9,330,6,50
2025-02-18,L,Rajma Chawal,16,580,10,90
2025-02-18,D,Palak Paneer with Roti,20,620,22,50
2025-02-19,B,Aloo Paratha,10,401,10,70
2025-02-19,L,Vegetable Biryani,12,620,14,95
2025-02-19,D,Dal Makhani with Rice,18,601,16,80
2025-02-20,B,Puri Bhaji,8,380,12,65
2025-02-20,L,Aloo Gobi with Roti,14,560,12,80
2025-02-20,D,Egg Curry with Rice,22,630,20,70
2025-02-21,B,Medu Vada,9,340,11,45
2025-02-21,L,Kadhi Chawal,13,541,11,85
2025-02-21,D,Chicken Curry with Rice,28,650,18,75
2025-02-22,B,Idli Sambar,12,299,5,61
2025-02-22,L,Dal Rice with Mixed Veg,15,550,12,81
2025-02-22,D,Tandoori Chicken with Salad,30,600,15,40
2025-02-23,B,Masala Dosa,10,349,8,50
2025-02-23,L,Paneer Butter Masala with Naan,20,701,30,75
2025-02-23,D,Vegetable Curry with Rice,12,550,18,90
2025-02-24,B,Poha,8,320,7,55
2025-02-24,L,Chole Rice,18,600,15,85
2025-02-24,D,Fish Curry with Rice,25,580,21,75
2025-02-25,B,Upma,9,330,6,50
2025-02-25,L,Rajma Chawal,16,580,10,90
2025-02-25,D,Palak Paneer with Roti,20,620,22,50
2025-02-26,B,Aloo Paratha,10,401,10,70
2025-02-26,L,Vegetable Biryani,12,620,14,95
2025-02-26,D,Dal Makhani with Rice,18,601,16,80
2025-02-27,B,Puri Bhaji,8,380,12,65
2025-02-27,L,Aloo Gobi with Roti,14,560,12,80
2025-02-27,D,Egg Curry with Rice,22,630,20,70
2025-02-28,B,Medu Vada,9,340,11,45
2025-02-28,L,Kadhi Chawal,13,541,11,85
2025-02-28,D,Chicken Curry with Rice,28,650,18,75